,rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
0,1,10797460,K00752.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,793.0,93.59,29.45,-16.65,35.8,1.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93422999999996,48.141651,15.347000000000001
1,2,10797460,K00752.02,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443.0,9.11,2.87,-1.62,25.8,2.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93422999999996,48.141651,15.347000000000001
2,3,10811496,K00753.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.89913995,1.494e-05,-1.494e-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,14.6,3.92,-1.31,638.0,39.3,31.04,-10.49,76.3,1.0,q1_q17_dr25_tce,5853.0,158.0,-176.0,4.544,0.044000000000000004,-0.17600000000000002,0.868,0.233,-0.078,297.00482,48.134128999999994,15.436
3,4,10848459,K00754.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.7369524530000002,2.63e-07,-2.63e-07,170.30756499999998,0.000115,-0.000115,1.276,0.115,-0.092,2.4064099999999997,0.005370000000000001,-0.005370000000000001,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,891.96,668.95,-230.35,505.6,1.0,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597000000000001
4,5,10854555,K00755.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,926.16,874.33,-314.24,40.9,1.0,q1_q17_dr25_tce,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75487999999996,48.2262,15.509
5,6,10872983,K00756.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116000000002,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835.0,114.81,112.85,-36.7,66.5,1.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
6,7,10872983,K00756.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,427.65,420.33,-136.7,40.2,2.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
7,8,10872983,K00756.03,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,807.74,793.91,-258.2,15.0,3.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
8,9,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342.0,767.22,349.28,-365.49,47.7,1.0,q1_q17_dr25_tce,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66
9,10,10910878,K00757.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600.0,30.75,4.46,-6.66,161.9,1.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.027999999999999997,0.848,0.033,-0.072,286.99948,48.37579,15.841
10,11,11446443,K00001.01,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.7431900000000002,0.00107,-0.00107,14231.0,4.2,-4.2,13.04,0.51,-0.51,1339.0,761.46,106.21,-95.76,4304.3,1.0,q1_q17_dr25_tce,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
11,12,10666592,K00002.01,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.2047354169999998,4.3e-08,-4.3e-08,121.35854170000002,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,4148.92,651.59,-654.46,5945.9,1.0,q1_q17_dr25_tce,6440.0,76.0,-89.0,4.019,0.033,-0.027000000000000003,1.952,0.099,-0.11,292.24728,47.969521,10.463
12,13,6922244,K00010.01,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.5224984289999997,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.006529999999999999,-0.006529999999999999,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,1264.67,307.23,-276.48,1741.5,1.0,q1_q17_dr25_tce,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.562999999999999
13,14,10984090,K00112.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.709214104,6.536000000000001e-06,-6.536000000000001e-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,1.16,0.17,-0.12,1206.0,500.46,197.96,-130.54,50.6,2.0,q1_q17_dr25_tce,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772
14,15,10419211,K00742.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.521446064000001,1.98e-06,-1.98e-06,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,753.0,75.88,58.89,-19.99,622.1,1.0,q1_q17_dr25_tce,5795.0,155.0,-172.0,4.553999999999999,0.033,-0.17600000000000002,0.848,0.224,-0.075,297.07993,47.597401,15.472000000000001
15,16,10464078,K00743.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,523.0,17.69,6.66,-4.88,214.7,1.0,q1_q17_dr25_tce,5043.0,151.0,-151.0,4.591,0.07200000000000001,-0.048,0.68,0.072,-0.065,289.25821,47.635319,15.487
16,17,10480982,K00744.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.221388942,1.1229999999999999e-06,-1.1229999999999999e-06,184.5521637,4.5e-05,-4.5e-05,1.065,0.031,-0.034,4.798430000000001,0.00235,-0.00235,74284.0,21.9,-21.9,49.29,16.03,-5.0,698.0,55.97,54.55,-16.4,2317.0,1.0,q1_q17_dr25_tce,6117.0,182.0,-200.0,4.496,0.052000000000000005,-0.20800000000000002,0.947,0.308,-0.096,295.81453999999997,47.69035,15.341
17,18,10485250,K00745.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479.0,39.9,-39.9,7.94,0.89,-0.89,595.0,29.61,12.01,-8.91,303.4,1.0,q1_q17_dr25_tce,5152.0,168.0,-153.0,4.5169999999999995,0.08800000000000001,-0.07200000000000001,0.786,0.088,-0.088,297.15442,47.668701,15.788
18,19,10526549,K00746.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.27358173,1.037e-05,-1.037e-05,173.25815500000002,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,649.0,41.85,12.49,-11.7,87.2,1.0,q1_q17_dr25_tce,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,0.056,-0.068,288.13824,47.724449,15.302
19,20,10583066,K00747.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678.0,50.04,16.4,-9.88,65.4,1.0,q1_q17_dr25_tce,4537.0,123.0,-123.0,4.648,0.02,-0.055999999999999994,0.672,0.062,-0.036,283.71088,47.86327,15.784
20,21,10583180,K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.6963706519999997,7.533999999999999e-06,-7.533999999999999e-06,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066.0,305.34,96.64,-86.33,48.2,1.0,q1_q17_dr25_tce,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804297999999996,15.269
21,22,10601284,K00749.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,919.0,168.99,34.66,-38.48,60.6,1.0,q1_q17_dr25_tce,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.415999999999999
22,23,10601284,K00749.02,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,1.094e-05,-1.094e-05,136.08661999999998,0.00233,-0.00233,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,1018.0,253.15,51.91,-57.65,28.9,2.0,q1_q17_dr25_tce,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.415999999999999
23,24,10601284,K00749.03,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,6.787e-05,-6.787e-05,132.8031,0.00716,-0.00716,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,800.0,97.03,19.9,-22.09,14.1,3.0,q1_q17_dr25_tce,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.415999999999999
24,25,2306756,K00113.01,FALSE POSITIVE,FALSE POSITIVE,0.408,0,1,0,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927.0,45.8,-45.8,41.5,1.68,-1.68,297.0,1.84,0.26,-0.24,994.0,1.0,q1_q16_tce,5543.0,79.0,-79.0,4.081,0.013999999999999999,-0.013999999999999999,1.58,0.064,-0.064,292.27374,37.671558000000005,12.394
25,26,10662202,K00750.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.67699193,7.01e-05,-7.01e-05,171.53593999999998,0.00258,-0.00258,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,530.0,18.64,2.78,-3.8,34.3,1.0,q1_q17_dr25_tce,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.828,0.032,-0.065,290.46512,47.92918,15.377
26,27,10682541,K00751.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.99677968,1.389e-05,-1.389e-05,171.74208000000002,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,917.0,166.95,102.06,-42.14,28.2,1.0,q1_q17_dr25_tce,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,297.80826,47.946671,15.860999999999999
27,28,11460018,K00769.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.280963604,6.141e-06,-6.141e-06,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,1012.0,247.87,182.24,-63.32,61.8,1.0,q1_q17_dr25_tce,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,294.26581,49.314091,15.356
28,29,11463211,K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,4.7e-07,-4.7e-07,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1452.0,1054.12,703.1,-292.26,181.1,1.0,q1_q17_dr25_tce,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522000000003,49.351009000000005,15.525
29,30,11465813,K00771.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,196.0,0.35,0.15,-0.06,642.7,1.0,q1_q17_dr25_tce,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861000000003,49.316479,15.207
30,31,11493732,K00772.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,61.2563628,0.000156,-0.000156,173.83826000000002,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,505.0,15.43,14.85,-5.51,85.3,1.0,q1_q17_dr25_tce,6144.0,184.0,-220.0,4.402,0.07200000000000001,-0.217,1.091,0.35,-0.15,283.72592000000003,49.479519,15.25
31,32,11507101,K00773.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,529.0,18.53,6.72,-4.93,34.7,1.0,q1_q17_dr25_tce,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,291.72202000000004,49.480869,15.172
32,33,10910878,K00757.02,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,9.345e-05,-9.345e-05,165.00404,0.00171,-0.00171,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,439.0,8.76,1.27,-1.9,51.2,2.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.027999999999999997,0.848,0.033,-0.072,286.99948,48.37579,15.841
33,34,10910878,K00757.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.252962248999999,9.577e-06,-9.577e-06,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,823.0,108.3,15.73,-23.44,47.1,3.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.027999999999999997,0.848,0.033,-0.072,286.99948,48.37579,15.841
34,35,10987985,K00758.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.01308419,4.854e-05,-4.854e-05,176.3608,0.00243,-0.00243,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,593.0,29.31,11.77,-8.24,33.2,1.0,q1_q17_dr25_tce,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,0.091,-0.082,297.02563,48.478588,15.39
35,36,11018648,K00759.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,32.62876672,5.801e-05,-5.801e-05,194.1019,0.00138,-0.00138,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,506.0,15.55,10.51,-4.18,80.0,1.0,q1_q17_dr25_tce,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
36,37,11018648,K00759.02,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,0.606,0.335,-0.4,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,359.0,3.92,2.64,-1.06,19.1,2.0,q1_q17_dr25_tce,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
37,38,11138155,K00760.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,1103.0,349.4,146.52,-93.21,696.5,1.0,q1_q17_dr25_tce,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263
38,39,11152159,K00761.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.7012878010000003,5.634e-06,-5.634e-06,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222.0,527.81,411.33,-166.35,48.3,1.0,q1_q17_dr25_tce,5550.0,182.0,-182.0,4.468,0.091,-0.16899999999999998,0.91,0.228,-0.105,297.92365,48.777321,15.54
39,40,11153539,K00762.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.49876511,1.777e-05,-1.777e-05,171.34905,0.003,-0.003,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,1133.0,389.62,365.71,-117.4,29.5,1.0,q1_q17_dr25_tce,6075.0,189.0,-210.0,4.486000000000001,0.052000000000000005,-0.20800000000000002,0.969,0.3,-0.1,298.45685,48.791592,15.395
40,41,11242721,K00763.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,5.862000000000001e-06,-5.862000000000001e-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,730.0,67.03,62.46,-23.51,513.4,1.0,q1_q17_dr25_tce,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
41,42,9579641,K00115.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.412203927,3.0519999999999997e-06,-3.0519999999999997e-06,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4.0,-4.0,2.94,0.43,-0.38,1093.0,337.68,137.29,-102.18,166.7,1.0,q1_q17_dr25_tce,5779.0,104.0,-115.0,4.3389999999999995,0.132,-0.10800000000000001,1.087,0.157,-0.142,287.88732999999996,46.276241,12.790999999999999
42,43,11304958,K00764.01,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,7.557e-05,-7.557e-05,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,516.0,16.72,14.66,-6.64,141.1,1.0,q1_q17_dr25_tce,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4
43,44,11391957,K00765.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.35389523,1.524e-05,-1.524e-05,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,790.0,91.9,59.06,-24.15,43.4,1.0,q1_q17_dr25_tce,5592.0,152.0,-152.0,4.582,0.036000000000000004,-0.14400000000000002,0.787,0.169,-0.073,285.49924,49.277351,15.317
44,45,11403044,K00766.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.1255434719999995,3.133e-06,-3.133e-06,169.752585,0.000613,-0.000613,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1243.0,565.35,542.47,-188.14,128.6,1.0,q1_q17_dr25_tce,6174.0,173.0,-239.0,4.417,0.055999999999999994,-0.21,1.103,0.358,-0.128,291.93616000000003,49.253979,15.505999999999998
45,46,11414511,K00767.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.816504904,1.65e-07,-1.65e-07,170.96768459999998,4.66e-05,-4.66e-05,0.105,0.264,-0.119,2.5058700000000003,0.006659999999999999,-0.006659999999999999,16814.0,11.0,-11.0,12.21,1.62,-0.87,1219.0,521.13,184.34,-97.95,1406.8,1.0,q1_q17_dr25_tce,5532.0,74.0,-83.0,4.452,0.063,-0.10800000000000001,0.955,0.127,-0.068,297.01547,49.225288,15.052
46,47,11442465,K00768.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,33.93373447,6.154e-05,-6.154e-05,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430.0,8.11,3.25,-2.06,236.1,1.0,q1_q17_dr25_tce,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360721999999996,15.716
47,48,12110942,K00786.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.6899200989999996,8.982e-06,-8.982e-06,170.36571,0.00191,-0.00191,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,1147.0,408.99,342.24,-123.32,35.6,1.0,q1_q17_dr25_tce,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,0.262,-0.098,291.62241,50.61824,15.242
48,49,12366084,K00787.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.431238488,6.1060000000000005e-06,-6.1060000000000005e-06,171.015,0.00111,-0.00111,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,1104.0,351.23,135.26,-68.33,71.1,1.0,q1_q17_dr25_tce,5714.0,77.0,-77.0,4.428,0.063,-0.11699999999999999,1.015,0.148,-0.079,295.81616,51.121738,15.367
49,50,12366084,K00787.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.37936986,2.415e-05,-2.415e-05,133.84992,0.00183,-0.00183,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,806.0,99.68,38.38,-19.39,37.9,2.0,q1_q17_dr25_tce,5714.0,77.0,-77.0,4.428,0.063,-0.11699999999999999,1.015,0.148,-0.079,295.81616,51.121738,15.367
50,51,12404086,K00788.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,26.39432897,5.724e-05,-5.724e-05,176.05459,0.00176,-0.00176,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,3.07,0.41,-0.22,489.0,13.49,6.07,-3.21,48.2,1.0,q1_q17_dr25_tce,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,0.103,-0.055,289.39972,51.25032,15.234000000000002
51,52,8395660,K00116.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.57078281,1.585e-05,-1.585e-05,136.279194,0.000957,-0.000957,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,785.0,89.61,38.12,-22.92,88.4,1.0,q1_q17_dr25_tce,5854.0,105.0,-117.0,4.406000000000001,0.09,-0.11,1.012,0.154,-0.103,300.86397999999997,44.337551,12.882
52,53,9579641,K00115.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.12594387,1.406e-05,-1.406e-05,139.00492,0.00159,-0.00159,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,997.0,233.31,94.86,-70.6,47.1,2.0,q1_q17_dr25_tce,5779.0,104.0,-115.0,4.3389999999999995,0.132,-0.10800000000000001,1.087,0.157,-0.142,287.88732999999996,46.276241,12.790999999999999
53,54,11656840,K00774.01,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004,7.02e-07,-7.02e-07,169.97177969999998,7.32e-05,-7.32e-05,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446.0,37.8,-37.8,15.03,4.73,-1.58,967.0,206.78,195.52,-61.76,835.6,1.0,q1_q17_dr25_tce,6108.0,183.0,-201.0,4.468999999999999,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27
54,55,11754553,K00775.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.38489988,5.219e-05,-5.219e-05,172.72782,0.00248,-0.00248,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42.0,-42.0,2.0,0.09,-0.1,433.0,8.35,1.49,-1.35,28.9,2.0,q1_q17_dr25_tce,4126.0,82.0,-82.0,4.6610000000000005,0.022000000000000002,-0.022000000000000002,0.615,0.027,-0.029,286.73804,49.97575,15.095
55,56,11754553,K00775.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.8774163,1.493e-05,-1.493e-05,176.3759,0.00147,-0.00147,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1306.1,37.7,-37.7,2.16,0.09,-0.11,553.0,22.18,3.97,-3.59,38.7,1.0,q1_q17_dr25_tce,4126.0,82.0,-82.0,4.6610000000000005,0.022000000000000002,-0.022000000000000002,0.615,0.027,-0.029,286.73804,49.97575,15.095
56,57,11754553,K00775.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,36.4454001,0.0001809,-0.0001809,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,332.0,2.88,0.51,-0.47,21.7,3.0,q1_q17_dr25_tce,4126.0,82.0,-82.0,4.6610000000000005,0.022000000000000002,-0.022000000000000002,0.615,0.027,-0.029,286.73804,49.97575,15.095
