,rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8280,8281,11453930,K05900.02,FALSE POSITIVE,FALSE POSITIVE,0.408,1,0,0,0,0.687739345,1.529e-06,-1.529e-06,131.73998999999998,0.00175,-0.00175,0.4062,0.3387,-0.3037,0.1866,0.0729,-0.0729,37.6,4.5,-4.5,1.53,0.93,-0.3,2837.0,15318.29,28671.86,-6681.93,11.0,1.0,q1_q17_dr24_tce,6823.0,165.0,-242.0,4.212,0.121,-0.121,1.493,0.919,-0.288,291.14532,49.365318,13.127
8281,8282,5955321,K06140.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,11.637858887,1.485e-06,-1.485e-06,136.885517,0.000107,-0.000107,0.473,0.004,-0.002,11.8851,0.00605,-0.00605,427950.0,196.0,-196.0,77.01,24.67,-8.81,895.0,151.54,143.16,-49.76,2637.0,1.0,q1_q17_dr25_tce,6360.0,176.0,-242.0,4.433,0.067,-0.21600000000000003,1.058,0.339,-0.121,290.18271,41.216640000000005,15.385
8283,8284,4758350,K06447.02,CANDIDATE,CANDIDATE,0.408,0,0,0,0,91.649983,0.003181,-0.003181,175.7156,0.0286,-0.0286,0.2136,0.2282,-0.2135,10.294,0.939,-0.939,193.6,23.9,-23.9,2.27,1.27,-0.54,568.0,24.57,41.53,-12.19,8.7,2.0,q1_q17_dr24_tce,6705.0,164.0,-233.0,4.145,0.16399999999999998,-0.16399999999999998,1.608,0.905,-0.383,294.93197999999995,39.81242,12.964
8284,8285,4862625,K06464.03,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,541.742985,0.006839,-0.006839,374.45853999999997,0.00941,-0.00941,0.041,0.524,-0.041,10.47,0.443,-0.443,1038.6,20.5,-20.5,3.39,0.97,-0.34,248.0,0.9,0.73,-0.26,25.9,3.0,q1_q17_dr25_tce,6373.0,151.0,-189.0,4.438,0.062,-0.188,1.047,0.298,-0.106,298.21509,39.955101,13.718
8285,8286,5211470,K06541.02,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.9380745359999999,1.662e-06,-1.662e-06,132.26984,0.00155,-0.00155,1.196,3.516,-0.108,1.9618,0.0863,-0.0863,575.9,19.9,-19.9,417.01,96.56,-179.3,5718.0,251840.36,169644.02,-177874.17,36.1,2.0,q1_q17_dr25_tce,4697.0,117.0,-117.0,2.204,0.331,-0.17800000000000002,17.032,3.944,-7.324,297.70847000000003,40.307590000000005,13.094000000000001
8286,8287,6665064,K06751.02,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.698359996,9.309e-06,-9.309e-06,131.7023,0.00157,-0.00157,1.247,4.316,-0.149,1.4959,0.0884,-0.0884,774.1,36.7,-36.7,28.97,4.33,-1.45,1990.0,3702.25,1460.82,-539.67,26.1,1.0,q1_q17_dr25_tce,5761.0,78.0,-78.0,4.492,0.022000000000000002,-0.12,0.956,0.143,-0.048,281.64999,42.132061,15.183
8287,8288,3458687,K07543.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.98376204,1.5e-05,-1.5e-05,132.28418,0.00914,-0.00914,1.01,0.08,-0.025,10.052,0.84,-0.84,55.0,5.8,-5.8,12.44,0.69,-6.57,4203.0,73867.88,17596.44,-59464.39,25.2,1.0,q1_q17_dr25_tce,6431.0,172.0,-211.0,3.2760000000000002,0.46799999999999997,-0.052000000000000005,5.294,0.294,-2.795,295.08774,38.562061,12.745
8288,8289,3965201,K07546.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,44.113873,0.001449,-0.001449,164.8337,0.0254,-0.0254,0.032,0.419,-0.032,3.956,0.842,-0.842,196.3,31.0,-31.0,4.9,0.88,-1.62,1158.0,424.45,238.17,-262.15,6.6,4.0,q1_q17_dr24_tce,7854.0,227.0,-311.0,3.6689999999999996,0.258,-0.258,3.462,0.624,-1.141,294.31064,39.049702,12.667
8289,8290,4074294,K07547.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.8929888770000001,2.016e-06,-2.016e-06,131.56303,0.00178,-0.00178,0.71,0.225,-0.432,2.4428,0.0738,-0.0738,85.0,2.4,-2.4,2.94,0.39,-1.17,3285.0,27545.43,11821.51,-18481.58,43.8,1.0,q1_q17_dr25_tce,6228.0,171.0,-152.0,3.668,0.32,-0.08,2.975,0.394,-1.182,295.72275,39.183448999999996,13.013
8290,8291,4384652,K07549.01,FALSE POSITIVE,FALSE POSITIVE,0.408,0,1,0,1,374.51648,0.001454,-0.001454,430.92524000000003,0.0025,-0.0025,0.0139,0.224,-0.0139,6.088,0.304,-0.304,907420.0,42980.0,-42980.0,73.1,22.93,-4.11,220.0,0.55,0.52,-0.11,105.8,1.0,q1_q17_dr24_tce,5714.0,179.0,-140.0,4.627,0.026000000000000002,-0.026000000000000002,0.711,0.223,-0.04,296.17712,39.439419,13.967
